Barcode	Date	State	Subtype	Strain	H1	H3	N1	N2	Constellation	WGS
A02524470	2020-06-30	MO	H1N2	A/swine/Missouri/A02524470/2020	pandemic	NA	NA	2002A	TTPTPT	TRUE
A02524479	2020-07-06	MO	H1N1	A/swine/Missouri/A02524479/2020	gamma	NA	Classical	NA	TTTTPT	TRUE
A02524505	2020-07-27	MO	H3N2	A/swine/Missouri/A02524505/2020	NA	IV-A	NA	2002B	TTTPPT	TRUE
A02479212	2020-04-07	NE	H1N1	A/swine/Nebraska/A02479212/2020	gamma	NA	Classical	NA	TTTPPT	TRUE
A02479337	2020-05-12	NE	H1N1	A/swine/Nebraska/A02479337/2020	gamma	NA	Classical	NA	TTTPPT	TRUE
A02245572	2020-04-02	NC	H1N1	A/swine/North_Carolina/A02245572/2020	pandemic	NA	Pandemic	NA	PPPPPP	TRUE
A02245602	2020-04-28	NC	H1N2	A/swine/North_Carolina/A02245602/2020	alpha	NA	NA	1998B	TTTPPT	TRUE
A02479166	2020-03-27	NC	H1N1	A/swine/North_Carolina/A02479166/2020	gamma	NA	Classical	NA	NA	FALSE
A02479230	2020-04-16	NC	H1N1	A/swine/North_Carolina/A02479230/2020	gamma	NA	Classical	NA	TTPPPT	TRUE
A02479237	2020-04-16	NC	H3N2	A/swine/North_Carolina/A02479237/2020	NA	IV-A	NA	2002B	TTTPPT	TRUE
A02479439	2020-06-10	NC	H1N1	A/swine/North_Carolina/A02479439/2020	gamma	NA	Classical	NA	TTTPPT	TRUE
A02524478	2020-07-01	NC	H3N2	A/swine/North_Carolina/A02524478/2020	NA	IV-A	NA	2002B	TTTPPT	TRUE
A02524577	2020-08-27	NC	H1N2	A/swine/North_Carolina/A02524577/2020	delta2	NA	NA	1998B	NA	FALSE
A02479280	2020-04-24	OH	H3N2	A/swine/Ohio/A02479280/2020	NA	IV-A	NA	2002B	TTTPPT	TRUE
A02479284	2020-04-27	OH	H1N1	A/swine/Ohio/A02479284/2020	gamma	NA	Classical	NA	TTPPPT	TRUE
A02479354	2020-05-19	OH	H3N2	A/swine/Ohio/A02479354/2020	NA	IV-A	NA	2002B	TTTPPT	TRUE
A02524448	2020-06-26	OH	H1N1	A/swine/Ohio/A02524448/2020	gamma	NA	Classical	NA	TTTTPT	TRUE
A02524449	2020-06-25	OH	H3N2	A/swine/Ohio/A02524449/2020	NA	2010.2	NA	2016	TTTTPT	TRUE
A02245656	2020-05-21	OK	H1N1	A/swine/Oklahoma/A02245656/2020	pandemic	NA	Pandemic	NA	PTPPPT	TRUE
A02245680	2020-07-14	OK	H3N1	A/swine/Oklahoma/A02245680/2020	NA	2010.1	Pandemic	NA	TTPPPT	TRUE
A02245702	2020-08-28	OK	H1N1	A/swine/Oklahoma/A02245702/2020	gamma	NA	Classical	NA	TVVVPT	TRUE
A02479286	2020-04-28	OK	H1N2	A/swine/Oklahoma/A02479286/2020	delta1a	NA	NA	2002B	TTTTPT	TRUE
A02524467	2020-07-02	OK	H3N2	A/swine/Oklahoma/A02524467/2020	NA	I	NA	TX98	PVVPPP	TRUE
A02479139	2020-03-19	PA	H3N2	A/swine/Pennsylvania/A02479139/2020	NA	IV-A	NA	2002B	NA	FALSE
A02524416	2020-06-11	PA	H3N2	A/swine/Pennsylvania/A02524416/2020	NA	IV-A	NA	2002B	T-TPPT	FALSE
A02524504	2020-07-24	PA	H3N2	A/swine/Pennsylvania/A02524504/2020	NA	IV-A	NA	2002B	TTTPPT	TRUE
A02524453	2020-06-24	SD	H1N1	A/swine/South_Dakota/A02524453/2020	gamma	NA	Classical	NA	TTTPPT	TRUE
A02524468	2020-07-01	SD	H1N2	A/swine/South_Dakota/A02524468/2020	alpha	NA	NA	2002B	TTPTPT	TRUE
A02245589	2020-04-14	TX	H3N2	A/swine/Texas/A02245589/2020	NA	I	NA	TX98	VVVPPT	TRUE
A02245632	2020-04-30	TX	H1N1	A/swine/Texas/A02245632/2020	beta	NA	Classical	NA	TTTTPT	TRUE
A02245653	2020-05-21	TX	H3N2	A/swine/Texas/A02245653/2020	NA	I	NA	TX98	VVVPPT	TRUE
A02479108	2020-03-02	UT	H1N1	A/swine/Utah/A02479108/2020	pandemic	NA	Pandemic	NA	NA	FALSE
A02479278	2020-04-21	UT	H3N2	A/swine/Utah/A02479278/2020	NA	2010.1	NA	2002B	TTTPPT	TRUE
A02479329	2020-05-11	UT	H1N2	A/swine/Utah/A02479329/2020	alpha	NA	NA	2002B	TTPPPT	TRUE
A02524432	2020-06-15	UT	H1N2	A/swine/Utah/A02524432/2020	alpha	NA	NA	2002B	TTPPPT	TRUE
A02524471	2020-06-30	UT	H3N2	A/swine/Utah/A02524471/2020	NA	2010.1	NA	2002B	TTPTPT	TRUE
A02524486	2020-07-07	UT	H3N2	A/swine/Utah/A02524486/2020	NA	2010.1	NA	2002B	TTTTPT	TRUE
A02479334	2020-05-11	WI	H1N1	A/swine/Wisconsin/A02479334/2020	gamma	NA	Classical	NA	VVVPPT	TRUE
A02479384	2020-06-02	WI	H1N2	A/swine/Wisconsin/A02479384/2020	pandemic	NA	NA	2002B	TTTTPT	TRUE
A02257613	2018-09-20	AZ	H1N1	A/swine/Arizona/A02257613/2018	pandemic	NA	Classical	NA	PPPTPP	TRUE
A01459645	2018-08-27	CA	H1N2	A/swine/California/A01459645/2018	delta2	NA	NA	1998B	TTTPPT	TRUE
A02157972	2018-04-16	CO	H1N1	A/swine/Colorado/A02157972/2018	gamma	NA	Classical	NA	TTTPPT	TRUE
A01785545	2018-05-22	IL	H1N1	A/swine/Illinois/A01785545/2018	pandemic	NA	Pandemic	NA	PTPTPT	TRUE
A01785546	2018-05-21	IL	H1N1	A/swine/Illinois/A01785546/2018	pandemic	NA	Pandemic	NA	NA	FALSE
A01785554	2018-05-24	IL	H1N1	A/swine/Illinois/A01785554/2018	pandemic	NA	Pandemic	NA	NA	FALSE
A02158521	2018-05-10	IL	H1N2	A/swine/Illinois/A02158521/2018	alpha	NA	NA	2002B	TTPTPT	TRUE
A02257390	2018-09-08	IL	H3N2	A/swine/Illinois/A02257390/2018	NA	2010.1	NA	2002B	NA	FALSE
A02257616	2018-09-19	IL	H1N2	A/swine/Illinois/A02257616/2018	alpha	NA	NA	2002B	TTPTPT	TRUE
A01812279	2018-08-15	IN	H1N2	A/swine/Indiana/A01812279/2018	delta2	NA	NA	1998B	----P-	FALSE
A01812280	2018-08-16	IN	H1N2	A/swine/Indiana/A01812280/2018	delta2	NA	NA	1998B	NA	FALSE
A01812281	2018-08-27	IN	H1N1	A/swine/Indiana/A01812281/2018	gamma	NA	Classical	NA	----P-	FALSE
A01812282	2018-09-06	IN	H1N1	A/swine/Indiana/A01812282/2018	gamma	NA	Classical	NA	NA	FALSE
A01812283	2018-09-05	IN	H1N2	A/swine/Indiana/A01812283/2018	delta2	NA	NA	1998B	NA	FALSE
A02157541	2018-04-04	IN	H1N2	A/swine/Indiana/A02157541/2018	delta1a	NA	NA	2002B	TTTTPT	TRUE
A02158148	2018-04-27	IN	H1N2	A/swine/Indiana/A02158148/2018	delta2	NA	NA	1998B	TTTPPT	TRUE
A02257165	2018-09-05	IN	H1N2	A/swine/Indiana/A02257165/2018	delta1a	NA	NA	2002B	NA	FALSE
A02257385	2018-09-05	IN	H1N2	A/swine/Indiana/A02257385/2018	delta1a	NA	NA	2002B	NA	FALSE
A02257391	2018-09-09	IN	H1N1	A/swine/Indiana/A02257391/2018	gamma	NA	Classical	NA	TVPPPT	TRUE
A02257399	2018-09-13	IN	H1N2	A/swine/Indiana/A02257399/2018	delta2	NA	NA	1998B	NA	FALSE
A02257813	2018-09-26	IN	H1N1	A/swine/Indiana/A02257813/2018	gamma	NA	Classical	NA	NA	FALSE
A01785622	2018-09-13	IA	H1N1	A/swine/Iowa/A01785622/2018	gamma	NA	Classical	NA	NA	FALSE
A01785630	2018-10-01	IA	H1N1	A/swine/Iowa/A01785630/2018	gamma	NA	Classical	NA	NA	FALSE
A01785635	2018-10-08	IA	H1N2	A/swine/Iowa/A01785635/2018	gamma	NA	NA	2002B	TTTTPT	TRUE
A02154763	2018-03-01	IA	H3N2	A/swine/Iowa/A02154763/2018	NA	2010.1	NA	2002B	TTTTPT	TRUE
A02154766	2018-03-02	IA	H3N2	A/swine/Iowa/A02154766/2018	NA	IV-A	NA	2002B	TTVTPT	TRUE
A02157712	2018-04-12	IA	H1N2	A/swine/Iowa/A02157712/2018	delta1a	NA	NA	2002B	TTTTPT	TRUE
A02157800	2018-04-11	IA	H1N2	A/swine/Iowa/A02157800/2018	delta1b	NA	NA	2002B	TTTTPT	TRUE
A02157968	2018-04-16	IA	H1N2	A/swine/Iowa/A02157968/2018	delta2	NA	NA	1998B	TTTPPT	TRUE
A02158360	2018-05-02	IA	H3N2	A/swine/Iowa/A02158360/2018	NA	2010.1	NA	2002B	TTTTPT	TRUE
A02158408	2018-05-07	IA	H1N1	A/swine/Iowa/A02158408/2018	gamma	NA	Classical	NA	TTTTPT	TRUE
A02158714	2018-05-17	IA	H3N2	A/swine/Iowa/A02158714/2018	NA	2010.1	NA	2002B	TTTTPT	TRUE
A02158716	2018-05-16	IA	H1N2	A/swine/Iowa/A02158716/2018	delta2	NA	NA	1998B	TTTPPT	TRUE
A02158721	2018-05-11	IA	H1N1	A/swine/Iowa/A02158721/2018	gamma	NA	Classical	NA	TTPPPT	TRUE
A02169067	2018-05-20	IA	H3N2	A/swine/Iowa/A02169067/2018	NA	2010.1	NA	2002A	TTTTPT	TRUE
A02254795	2018-07-30	IA	H1N1	A/swine/Iowa/A02254795/2018	gamma2-beta-like	NA	MN99	NA	VVVVPT	TRUE
A02257037	2018-09-05	IA	H1N1	A/swine/Iowa/A02257037/2018	gamma	NA	Classical	NA	NA	FALSE
A02257199	2018-09-04	IA	H1N1	A/swine/Iowa/A02257199/2018	gamma	NA	Classical	NA	NA	FALSE
A02257201	2018-09-04	IA	H3N2	A/swine/Iowa/A02257201/2018	NA	IV-I	NA	2002	TTPTPT	TRUE
A02257203	2018-09-05	IA	H1N2	A/swine/Iowa/A02257203/2018	delta2	NA	NA	1998B	TTTPPT	TRUE
A02257204	2018-09-06	IA	H1N1	A/swine/Iowa/A02257204/2018	gamma	NA	Classical	NA	NA	FALSE
A02257205	2018-09-05	IA	H1N2	A/swine/Iowa/A02257205/2018	delta1b	NA	NA	2002A	NA	FALSE
A02257206	2018-09-10	IA	H1N1	A/swine/Iowa/A02257206/2018	gamma	NA	Classical	NA	NA	FALSE
A02257207	2018-09-10	IA	H1N2	A/swine/Iowa/A02257207/2018	delta2	NA	NA	1998B	NA	FALSE
A02257386	2018-09-07	IA	H1N1	A/swine/Iowa/A02257386/2018	gamma	NA	Classical	NA	NA	FALSE
A02257387	2018-09-10	IA	H3N2	A/swine/Iowa/A02257387/2018	NA	2010.1	NA	2002A	NA	FALSE
A02257388	2018-09-10	IA	H1N1	A/swine/Iowa/A02257388/2018	pandemic	NA	Pandemic	NA	NA	FALSE
A02257392	2018-09-10	IA	H1N1	A/swine/Iowa/A02257392/2018	gamma	NA	Classical	NA	NA	FALSE
A02257393	2018-09-11	IA	H1N1	A/swine/Iowa/A02257393/2018	gamma	NA	Classical	NA	NA	FALSE
A02257394	2018-09-12	IA	H3N2	A/swine/Iowa/A02257394/2018	NA	2010.1	NA	2002B	NA	FALSE
A02257395	2018-09-12	IA	H1N1	A/swine/Iowa/A02257395/2018	gamma	NA	Classical	NA	NA	FALSE
A02257396	2018-09-11	IA	H1N1	A/swine/Iowa/A02257396/2018	pandemic	NA	Pandemic	NA	NA	FALSE
A02257397	2018-09-13	IA	H1N2	A/swine/Iowa/A02257397/2018	alpha	NA	NA	2002B	NA	FALSE
A02257398	2018-09-12	IA	H1N1	A/swine/Iowa/A02257398/2018	gamma	NA	Classical	NA	TTPPPT	TRUE
A02257430	2018-09-19	IA	H1N2	A/swine/Iowa/A02257430/2018	delta2	NA	NA	1998B	NA	FALSE
A02257548	2018-09-25	IA	H3N2	A/swine/Iowa/A02257548/2018	NA	2010.1	NA	2002B	TTTTPT	TRUE
A02257611	2018-09-14	IA	H1N1	A/swine/Iowa/A02257611/2018	gamma	NA	Classical	NA	NA	FALSE
A02257612	2018-09-14	IA	H1N2	A/swine/Iowa/A02257612/2018	delta1a	NA	NA	2002B	NA	FALSE
A02257663	2018-09-18	IA	H1N1	A/swine/Iowa/A02257663/2018	gamma	NA	Classical	NA	NA	FALSE
A02257664	2018-09-17	IA	H1N2	A/swine/Iowa/A02257664/2018	delta1b	NA	NA	2002A	TTTPPT	TRUE
A02257738	2018-09-25	IA	H1N2	A/swine/Iowa/A02257738/2018	delta2	NA	NA	1998B	NA	FALSE
A02257789	2018-09-25	IA	H1N2	A/swine/Iowa/A02257789/2018	pandemic	NA	NA	2002A	TTTTPT	TRUE
A02257804	2018-09-25	IA	H1N1	A/swine/Iowa/A02257804/2018	gamma2-beta-like	NA	MN99	NA	NA	FALSE
A02257806	2018-09-24	IA	H3N2	A/swine/Iowa/A02257806/2018	NA	2010.1	NA	2002A	NA	FALSE
A02257807	2018-09-28	IA	H1N1	A/swine/Iowa/A02257807/2018	gamma	NA	Classical	NA	NA	FALSE
A02257809	2018-09-27	IA	H1N1	A/swine/Iowa/A02257809/2018	gamma	NA	Classical	NA	NA	FALSE
A02257810	2018-09-26	IA	H1N1	A/swine/Iowa/A02257810/2018	pandemic	NA	Pandemic	NA	NA	FALSE
A02257867	2018-10-03	IA	H1N1	A/swine/Iowa/A02257867/2018	gamma	NA	Classical	NA	NA	FALSE
A01785532	2018-05-02	KS	H1N2	A/swine/Kansas/A01785532/2018	delta1a	NA	NA	2002A	TTTPPT	TRUE
A01785536	2018-05-07	KS	H3N2	A/swine/Kansas/A01785536/2018	NA	2010.1	NA	2002A	TTPTPT	TRUE
A01785556	2018-05-30	KS	H3N2	A/swine/Kansas/A01785556/2018	NA	IV-B	NA	2002B	TTTPPT	TRUE
A01785623	2018-09-17	KS	H1N1	A/swine/Kansas/A01785623/2018	beta	NA	Classical	NA	TTTTPT	TRUE
A01785624	2018-09-19	KS	H3N2	A/swine/Kansas/A01785624/2018	NA	IV-A	NA	2002B	NA	FALSE
A01678586	2018-09-20	MN	H3N2	A/swine/Minnesota/A01678586/2018	NA	IV-A	NA	2002A	NA	FALSE
A01785510	2018-04-16	MN	H1N1	A/swine/Minnesota/A01785510/2018	gamma	NA	Classical	NA	TTPPPT	TRUE
A01785557	2018-05-31	MN	H1N2	A/swine/Minnesota/A01785557/2018	gamma	NA	NA	TX98	TTVPPT	TRUE
A01785592	2018-08-07	MN	H3N2	A/swine/Minnesota/A01785592/2018	NA	I	NA	TX98	TVPPPT	TRUE
A01785613	2018-09-10	MN	H1N2	A/swine/Minnesota/A01785613/2018	gamma2-beta-like	NA	NA	TX98	TVVTPT	TRUE
A01785619	2018-09-10	MN	H3N2	A/swine/Minnesota/A01785619/2018	NA	2010.1	NA	2002B	NA	FALSE
A01785620	2018-09-12	MN	H1N2	A/swine/Minnesota/A01785620/2018	delta1a	NA	NA	2002B	TTTTPT	TRUE
A01785621	2018-09-12	MN	H3N2	A/swine/Minnesota/A01785621/2018	NA	2010.1	NA	2002B	NA	FALSE
A01785626	2018-09-21	MN	H1N1	A/swine/Minnesota/A01785626/2018	gamma	NA	Classical	NA	NA	FALSE
A01785627	2018-09-21	MN	H1N1	A/swine/Minnesota/A01785627/2018	gamma	NA	Classical	NA	NA	FALSE
A01785628	2018-09-26	MN	H3N2	A/swine/Minnesota/A01785628/2018	NA	2010.1	NA	2002B	NA	FALSE
A01785633	2018-10-04	MN	H1N2	A/swine/Minnesota/A01785633/2018	delta2	NA	NA	1998B	NA	FALSE
A01785634	2018-10-08	MN	H1N2	A/swine/Minnesota/A01785634/2018	delta1b	NA	NA	2002A	NA	FALSE
A01785637	2018-10-09	MN	H1N1	A/swine/Minnesota/A01785637/2018	gamma	NA	Classical	NA	NA	FALSE
A02157976	2018-04-18	MN	H3N2	A/swine/Minnesota/A02157976/2018	NA	IV-A	NA	2002A	TTTTPT	TRUE
A02158518	2018-05-10	MN	H3N2	A/swine/Minnesota/A02158518/2018	NA	2010.1	NA	2002B	TTTTPT	TRUE
A02158719	2018-05-10	MN	H1N1	A/swine/Minnesota/A02158719/2018	gamma	NA	Classical	NA	TTTPPT	TRUE
A02169072	2018-05-25	MN	H1N2	A/swine/Minnesota/A02169072/2018	delta1a	NA	NA	2002B	TTTTPT	TRUE
A02257389	2018-09-07	MN	H1N1	A/swine/Minnesota/A02257389/2018	gamma	NA	Classical	NA	TTPPPT	TRUE
A02257619	2018-09-20	MN	H3N2	A/swine/Minnesota/A02257619/2018	NA	IV-G	NA	2002	NA	FALSE
A02257811	2018-09-21	MN	H3N2	A/swine/Minnesota/A02257811/2018	NA	2010.1	NA	2002B	NA	FALSE
A02157539	2018-04-04	MO	H1N1	A/swine/Missouri/A02157539/2018	gamma	NA	Classical	NA	TTPPPT	TRUE
A02169073	2018-05-16	MO	H1N1	A/swine/Missouri/A02169073/2018	pandemic	NA	Pandemic	NA	PPPPPP	TRUE
A02257614	2018-09-18	MO	H3N2	A/swine/Missouri/A02257614/2018	NA	I	NA	TX98	TVVVPT	TRUE
A01785515	2018-04-19	NE	H3N2	A/swine/Nebraska/A01785515/2018	NA	IV-B	NA	2002B	TTPTPT	TRUE
A02157995	2018-04-24	NE	H3N2	A/swine/Nebraska/A02157995/2018	NA	IV-A	NA	2002A	TTTTPT	TRUE
A02158848	2018-05-17	NE	H1N2	A/swine/Nebraska/A02158848/2018	delta1b	NA	NA	2002A	TTTTPT	TRUE
A02169069	2018-05-16	NE	H3N2	A/swine/Nebraska/A02169069/2018	NA	IV-A	NA	2002A	TTTTPT	TRUE
A02257337	2018-09-14	NE	H3N2	A/swine/Nebraska/A02257337/2018	NA	IV-A	NA	2002B	NA	FALSE
A02257617	2018-09-21	NE	H1N2	A/swine/Nebraska/A02257617/2018	delta1a	NA	NA	2002B	NA	FALSE
A02257618	2018-09-21	NE	H1N1	A/swine/Nebraska/A02257618/2018	gamma2-beta-like	NA	MN99	NA	VVVVPT	TRUE
A01785522	2018-04-17	NC	H3N2	A/swine/North_Carolina/A01785522/2018	NA	2010.1	NA	2002B	TTTTPT	TRUE
A01785530	2018-04-28	NC	H1N2	A/swine/North_Carolina/A01785530/2018	delta2	NA	NA	1998B	TTTPPT	TRUE
A01785552	2018-05-18	NC	H3N2	A/swine/North_Carolina/A01785552/2018	NA	2010.1	NA	2002B	TTTTPT	TRUE
A01785607	2018-08-29	NC	H1N2	A/swine/North_Carolina/A01785607/2018	delta2	NA	NA	1998B	NA	FALSE
A01785609	2018-08-30	NC	H1N2	A/swine/North_Carolina/A01785609/2018	delta2	NA	NA	1998B	NA	FALSE
A01785612	2018-09-06	NC	H1N2	A/swine/North_Carolina/A01785612/2018	delta2	NA	NA	1998B	NA	FALSE
A01785615	2018-09-11	NC	H1N2	A/swine/North_Carolina/A01785615/2018	delta2	NA	NA	1998B	TTTPPT	TRUE
A01785631	2018-10-01	NC	H3N2	A/swine/North_Carolina/A01785631/2018	NA	2010.1	NA	2002B	NA	FALSE
A02157639	2018-04-10	NC	H1N2	A/swine/North_Carolina/A02157639/2018	alpha	NA	NA	2002B	TTPTPT	TRUE
A02256741	2018-08-23	NC	H1N2	A/swine/North_Carolina/A02256741/2018	delta2	NA	NA	1998B	TTTPPT	TRUE
A02257046	2018-09-04	NC	H1N1	A/swine/North_Carolina/A02257046/2018	gamma	NA	Classical	NA	NA	FALSE
A02257107	2018-09-03	NC	H1N2	A/swine/North_Carolina/A02257107/2018	alpha	NA	NA	2002B	NA	FALSE
A02257126	2018-09-06	NC	H1N2	A/swine/North_Carolina/A02257126/2018	alpha	NA	NA	1998B	NA	FALSE
A02257300	2018-09-12	NC	H1N1	A/swine/North_Carolina/A02257300/2018	gamma	NA	Classical	NA	NA	FALSE
A02157794	2018-04-10	OH	H1N1	A/swine/Ohio/A02157794/2018	gamma	NA	Classical	NA	TTPPPT	TRUE
A02257200	2018-08-31	OH	H1N2	A/swine/Ohio/A02257200/2018	delta2	NA	NA	1998B	NA	FALSE
A01785514	2018-04-19	OK	H3N2	A/swine/Oklahoma/A01785514/2018	NA	2010.1	NA	2002A	TTTTPT	TRUE
A01785571	2018-06-12	OK	H1N1	A/swine/Oklahoma/A01785571/2018	gamma2-beta-like	NA	MN99	NA	VTVVPT	TRUE
A01785611	2018-09-04	OK	H3N2	A/swine/Oklahoma/A01785611/2018	NA	2010.1	NA	2002A	TTPTPT	TRUE
A01785629	2018-10-01	OK	H1N2	A/swine/Oklahoma/A01785629/2018	alpha	NA	NA	2002B	NA	FALSE
A02157971	2018-04-16	OK	H1N2	A/swine/Oklahoma/A02157971/2018	alpha	NA	NA	2002B	TTPTPT	TRUE
A02158361	2018-05-02	PA	H1N1	A/swine/Pennsylvania/A02158361/2018	gamma	NA	Classical	NA	TTTPPT	TRUE
A02257193	2018-09-06	PA	H3N2	A/swine/Pennsylvania/A02257193/2018	NA	2010.1	NA	2002A	NA	FALSE
A02257263	2018-09-06	PA	H3N2	A/swine/Pennsylvania/A02257263/2018	NA	2010.1	NA	2002A	TTTPPT	TRUE
A01678587	2018-09-20	SD	H1N2	A/swine/South_Dakota/A01678587/2018	gamma	NA	NA	2002B	TTTTPT	TRUE
A01678588	2018-10-10	SD	H1N1	A/swine/South_Dakota/A01678588/2018	gamma	NA	Classical	NA	NA	FALSE
A01785506	2018-04-11	SD	H1N1	A/swine/South_Dakota/A01785506/2018	pandemic	NA	Pandemic	NA	PPPPPP	TRUE
A02158349	2018-05-07	SD	H1N1	A/swine/South_Dakota/A02158349/2018	gamma	NA	Classical	NA	TTPPPT	TRUE
A01785528	2018-04-27	TX	H1N1	A/swine/Texas/A01785528/2018	gamma	NA	Classical	NA	TTPPPT	TRUE
A01785529	2018-04-30	TX	H3N2	A/swine/Texas/A01785529/2018	NA	2010.1	NA	2002A	TTPTPT	TRUE
A01785616	2018-09-11	TX	H3N2	A/swine/Texas/A01785616/2018	NA	IV-A	NA	2002B	TTTPPT	TRUE
A02267936	2018-10-03	AL	H3N2	A/swine/Alabama/A02267936/2018	NA	I	NA	TX98	TVVTPT	TRUE
A01678570	2018-06-25	AR	H3N2	A/swine/Arkansas/A01678570/2018	NA	2010.2	NA	2016	TTTTPT	TRUE
A01678589	2018-10-12	AR	H3N2	A/swine/Arkansas/A01678589/2018	NA	2010.2	NA	2016	TTTTPT	TRUE
A01678590	2018-10-17	AR	H3N2	A/swine/Arkansas/A01678590/2018	NA	2010.2	NA	2016	NA	FALSE
A01678591	2018-10-17	AR	H3N2	A/swine/Arkansas/A01678591/2018	NA	2010.2	NA	2016	NA	FALSE
A01644407	2018-10-08	IL	H1N2	A/swine/Illinois/A01644407/2018	delta1a	NA	NA	2002B	NA	FALSE
A02170163	2018-06-12	IL	H1N2	A/swine/Illinois/A02170163/2018	alpha	NA	NA	2002B	TTTPPT	TRUE
A02266179	2018-10-09	IL	H1N2	A/swine/Illinois/A02266179/2018	delta2	NA	NA	1998B	NA	FALSE
A02267411	2018-10-10	IL	H1N2	A/swine/Illinois/A02267411/2018	alpha	NA	NA	2002B	NA	FALSE
A02267443	2018-10-05	IL	H1N2	A/swine/Illinois/A02267443/2018	alpha	NA	NA	2002B	NA	FALSE
A02267448	2018-10-05	IL	H1N1	A/swine/Illinois/A02267448/2018	gamma	NA	Classical	NA	TTTPPT	TRUE
A02267457	2018-10-12	IL	H1N2	A/swine/Illinois/A02267457/2018	delta1a	NA	NA	2002B	NA	FALSE
A02267935	2018-10-15	IL	H1N2	A/swine/Illinois/A02267935/2018	gamma2-beta-like	NA	NA	TX98	NA	FALSE
A02268399	2018-10-24	IL	H1N2	A/swine/Illinois/A02268399/2018	delta1a	NA	NA	2002B	NA	FALSE
A02267447	2018-10-09	IN	H3N2	A/swine/Indiana/A02267447/2018	NA	2010.2	NA	2016	NA	FALSE
A02267494	2018-10-11	IN	H3N2	A/swine/Indiana/A02267494/2018	NA	2010.2	NA	2016	NA	FALSE
A02267940	2018-10-17	IN	H1N2	A/swine/Indiana/A02267940/2018	delta2	NA	NA	1998B	NA	FALSE
A01785636	2018-10-05	IA	H3N2	A/swine/Iowa/A01785636/2018	NA	IV-A	NA	2002A	NA	FALSE
A01785648	2018-10-22	IA	H1N2	A/swine/Iowa/A01785648/2018	delta1a	NA	NA	2002B	NA	FALSE
A02016889	2018-06-01	IA	H3N2	A/swine/Iowa/A02016889/2018	NA	2010.1	NA	2002	TTTPPT	TRUE
A02016894	2018-06-05	IA	H3N2	A/swine/Iowa/A02016894/2018	NA	2010.1	NA	2002A	TTTTPT	TRUE
A02016896	2018-06-07	IA	H1N1	A/swine/Iowa/A02016896/2018	gamma	NA	Classical	NA	TTPPPT	TRUE
A02016897	2018-06-06	IA	H1N1	A/swine/Iowa/A02016897/2018	gamma	NA	Classical	NA	TTTTPT	TRUE
A02016898	2018-06-06	IA	H3N2	A/swine/Iowa/A02016898/2018	NA	2010.1	NA	2002A	TTTTPT	TRUE
A02169143	2018-06-16	IA	H1N1	A/swine/Iowa/A02169143/2018	pandemic	NA	Pandemic	NA	PPPTPT	TRUE
A02257808	2018-09-28	IA	H1N1	A/swine/Iowa/A02257808/2018	gamma	NA	Classical	NA	NA	FALSE
A02257812	2018-09-26	IA	H1N2	A/swine/Iowa/A02257812/2018	delta2	NA	NA	1998B	NA	FALSE
A02257962	2018-10-03	IA	H3N2	A/swine/Iowa/A02257962/2018	NA	IV-A	NA	2002B	NA	FALSE
A02257967	2018-10-04	IA	H1N2	A/swine/Iowa/A02257967/2018	delta2	NA	NA	1998B	NA	FALSE
A02266066	2018-10-01	IA	H1N2	A/swine/Iowa/A02266066/2018	delta2	NA	NA	1998B	TTTPPT	TRUE
A02266069	2018-10-01	IA	H1N1	A/swine/Iowa/A02266069/2018	gamma	NA	Classical	NA	NA	FALSE
A02266070	2018-10-01	IA	H1N1	A/swine/Iowa/A02266070/2018	gamma	NA	Classical	NA	NA	FALSE
A02266071	2018-10-02	IA	H1N1	A/swine/Iowa/A02266071/2018	gamma	NA	Classical	NA	NA	FALSE
A02266076	2018-10-03	IA	H3N2	A/swine/Iowa/A02266076/2018	NA	2010.1	NA	2002B	NA	FALSE
A02266077	2018-10-02	IA	H1N2	A/swine/Iowa/A02266077/2018	delta2	NA	NA	1998B	NA	FALSE
A02266079	2018-10-04	IA	H1N1	A/swine/Iowa/A02266079/2018	gamma	NA	Classical	NA	NA	FALSE
A02266080	2018-10-04	IA	H1N2	A/swine/Iowa/A02266080/2018	delta2	NA	NA	1998B	NA	FALSE
A02266090	2018-10-08	IA	H1N1	A/swine/Iowa/A02266090/2018	gamma	NA	Classical	NA	NA	FALSE
A02266113	2018-10-05	IA	H1N2	A/swine/Iowa/A02266113/2018	delta1b	NA	NA	2002A	NA	FALSE
A02266140	2018-10-09	IA	H1N2	A/swine/Iowa/A02266140/2018	delta1b	NA	NA	2002A	NA	FALSE
A02266149	2018-10-09	IA	H1N2	A/swine/Iowa/A02266149/2018	delta2	NA	NA	1998B	NA	FALSE
A02266214	2018-10-11	IA	H1N2	A/swine/Iowa/A02266214/2018	delta1b	NA	NA	2002A	NA	FALSE
A02266836	2018-10-19	IA	H1N2	A/swine/Iowa/A02266836/2018	delta1b	NA	NA	2002A	NA	FALSE
A02266858	2018-10-22	IA	H1N1	A/swine/Iowa/A02266858/2018	gamma	NA	Classical	NA	NA	FALSE
A02267442	2018-10-05	IA	H1N1	A/swine/Iowa/A02267442/2018	gamma	NA	Classical	NA	NA	FALSE
A02267444	2018-10-08	IA	H1N1	A/swine/Iowa/A02267444/2018	gamma	NA	Classical	NA	NA	FALSE
